0: kind=end, named=false, hidden=false, visible=false
1: kind=identifier, named=true, hidden=false, visible=true
2: kind=;, named=false, hidden=false, visible=true
3: kind=import, named=false, hidden=false, visible=true
4: kind=., named=false, hidden=false, visible=true
5: kind=from, named=false, hidden=false, visible=true
6: kind=__future__, named=false, hidden=true, visible=true
7: kind=(, named=false, hidden=false, visible=true
8: kind=), named=false, hidden=false, visible=true
9: kind=,, named=false, hidden=false, visible=true
10: kind=as, named=false, hidden=false, visible=true
11: kind=*, named=false, hidden=false, visible=true
12: kind=print, named=false, hidden=false, visible=true
13: kind=>>, named=false, hidden=false, visible=true
14: kind=assert, named=false, hidden=false, visible=true
15: kind=:=, named=false, hidden=false, visible=true
16: kind=return, named=false, hidden=false, visible=true
17: kind=del, named=false, hidden=false, visible=true
18: kind=raise, named=false, hidden=false, visible=true
19: kind=pass, named=false, hidden=false, visible=true
20: kind=break, named=false, hidden=false, visible=true
21: kind=continue, named=false, hidden=false, visible=true
22: kind=if, named=false, hidden=false, visible=true
23: kind=:, named=false, hidden=false, visible=true
24: kind=elif, named=false, hidden=false, visible=true
25: kind=else, named=false, hidden=false, visible=true
26: kind=match, named=false, hidden=false, visible=true
27: kind=case, named=false, hidden=false, visible=true
28: kind=async, named=false, hidden=false, visible=true
29: kind=for, named=false, hidden=false, visible=true
30: kind=in, named=false, hidden=false, visible=true
31: kind=while, named=false, hidden=false, visible=true
32: kind=try, named=false, hidden=false, visible=true
33: kind=except, named=false, hidden=false, visible=true
34: kind=except*, named=false, hidden=false, visible=true
35: kind=finally, named=false, hidden=false, visible=true
36: kind=with, named=false, hidden=false, visible=true
37: kind=def, named=false, hidden=false, visible=true
38: kind=->, named=false, hidden=false, visible=true
39: kind=**, named=false, hidden=false, visible=true
40: kind=global, named=false, hidden=false, visible=true
41: kind=nonlocal, named=false, hidden=false, visible=true
42: kind=exec, named=false, hidden=false, visible=true
43: kind=type, named=false, hidden=false, visible=true
44: kind==, named=false, hidden=false, visible=true
45: kind=class, named=false, hidden=false, visible=true
46: kind=[, named=false, hidden=false, visible=true
47: kind=], named=false, hidden=false, visible=true
48: kind=@, named=false, hidden=false, visible=true
49: kind=-, named=false, hidden=false, visible=true
50: kind=_, named=false, hidden=true, visible=true
51: kind=|, named=false, hidden=false, visible=true
52: kind={, named=false, hidden=false, visible=true
53: kind=}, named=false, hidden=false, visible=true
54: kind=+, named=false, hidden=false, visible=true
55: kind=not, named=false, hidden=false, visible=true
56: kind=and, named=false, hidden=false, visible=true
57: kind=or, named=false, hidden=false, visible=true
58: kind=/, named=false, hidden=false, visible=true
59: kind=%, named=false, hidden=false, visible=true
60: kind=//, named=false, hidden=false, visible=true
61: kind=&, named=false, hidden=false, visible=true
62: kind=^, named=false, hidden=false, visible=true
63: kind=<<, named=false, hidden=false, visible=true
64: kind=~, named=false, hidden=false, visible=true
65: kind=<, named=false, hidden=false, visible=true
66: kind=<=, named=false, hidden=false, visible=true
67: kind===, named=false, hidden=false, visible=true
68: kind=!=, named=false, hidden=false, visible=true
69: kind=>=, named=false, hidden=false, visible=true
70: kind=>, named=false, hidden=false, visible=true
71: kind=<>, named=false, hidden=false, visible=true
72: kind=is, named=false, hidden=false, visible=true
73: kind=lambda, named=false, hidden=false, visible=true
74: kind=+=, named=false, hidden=false, visible=true
75: kind=-=, named=false, hidden=false, visible=true
76: kind=*=, named=false, hidden=false, visible=true
77: kind=/=, named=false, hidden=false, visible=true
78: kind=@=, named=false, hidden=false, visible=true
79: kind=//=, named=false, hidden=false, visible=true
80: kind=%=, named=false, hidden=false, visible=true
81: kind=**=, named=false, hidden=false, visible=true
82: kind=>>=, named=false, hidden=false, visible=true
83: kind=<<=, named=false, hidden=false, visible=true
84: kind=&=, named=false, hidden=false, visible=true
